dataset,model,lambda,rp3_beta,graph_source,normalise,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,0.3,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,1.0,overall,5957,0.1155714117094535,0.0897606856021024,0.5059593755245929,0.13214767298941257,0.15455696244618178,0.6765150243411113
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,1.0,q1,5787,0.12791610103707493,0.12480678559086883,0.512182477967859,0.1518946489174693,0.20893974994924677,0.6811819595645412
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,1.0,q2,4520,0.0062183833872508296,0.011347315714733233,0.025221238938053097,0.011995139744393781,0.030039397730384297,0.06526548672566372
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,1.0,q3,3059,0.0012258406437090782,0.002969379971668301,0.004576659038901602,0.002407018740663272,0.006903127383676583,0.010134030728996404
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,1.0,q4,1767,0.0,0.0,0.0,0.00020994543691256915,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,1.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,3.0,overall,5957,0.11711215968807095,0.08981980895346384,0.5056236360584186,0.13330618824420384,0.15447036744004158,0.6743327178109787
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,3.0,q1,5787,0.1299978130551181,0.12563184099353802,0.5132192846034215,0.15398536138522845,0.21040934670468617,0.68066355624676
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,3.0,q2,4520,0.005198873104959518,0.008899727653357198,0.021238938053097345,0.010629083592185094,0.02675856228098413,0.05730088495575221
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,3.0,q3,3059,0.0009613894494497001,0.002315571537539501,0.003922850604772802,0.0018052058410190565,0.005230467473030402,0.007845701209545603
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,3.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,3.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,10.0,overall,5957,0.11930834949084915,0.08888887384371658,0.507470203122377,0.1336298035662602,0.1504215718507421,0.669464495551452
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,10.0,q1,5787,0.13298802756128644,0.12508875750243545,0.5178849144634525,0.15592642110451407,0.20798809585061181,0.6799723518230517
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,10.0,q2,4520,0.0035533071770464937,0.006228282875725271,0.013716814159292035,0.00700339085271812,0.017489957711307676,0.03738938053097345
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,10.0,q3,3059,0.0004006047299101523,0.0010079546692819002,0.001961425302386401,0.0008700250892691975,0.002751443826958701,0.004249754821837201
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,10.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,10.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,30.0,overall,5957,0.1202739433367663,0.08534718947932976,0.5052878965922444,0.13353559629128114,0.14525088730617206,0.6629175759610543
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,30.0,q1,5787,0.13414515057733448,0.12031287473997691,0.5180577155693796,0.15684905433549506,0.2036638378960671,0.6784171418697079
