model,ease_lambda,rp3_beta,rp3_topK,gamma,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-GraphReg,200,0.6,200,0.01,2,q4,1585,0.0005734674072690359,0.0015772870662460567,0.0018927444794952682,0.000963518524237049,0.0031545741324921135,0.0031545741324921135
Hybrid-GraphReg,200,0.6,200,0.01,2,q5,666,0.0,0.0,0.0,0.00039436867122701736,0.0015015015015015015,0.0015015015015015015
Hybrid-GraphReg,200,0.6,200,0.05,2,overall,6004,0.3429154557336419,0.2153261697299143,0.8780812791472352,0.34721633619631,0.31976238986390754,0.9373750832778148
Hybrid-GraphReg,200,0.6,200,0.05,2,q1,5935,0.35799744775762943,0.27383030411821696,0.8786857624262847,0.37539900758045885,0.399886876714396,0.9363100252737995
Hybrid-GraphReg,200,0.6,200,0.05,2,q2,4474,0.01909405234341357,0.031697071234503674,0.0813589628967367,0.03170577283142118,0.06926847039629538,0.17970496200268216
Hybrid-GraphReg,200,0.6,200,0.05,2,q3,2899,0.004599044407924844,0.008460804121579643,0.014487754398068299,0.008261669118664463,0.02008964035265941,0.03621938599517075
Hybrid-GraphReg,200,0.6,200,0.05,2,q4,1585,0.0010200508878373535,0.0028391167192429023,0.0031545741324921135,0.0019274495526356477,0.006098843322818086,0.00694006309148265
Hybrid-GraphReg,200,0.6,200,0.05,2,q5,666,0.0006466614986086983,0.0015015015015015015,0.0015015015015015015,0.00087682185625339,0.0022522522522522522,0.003003003003003003
Hybrid-GraphReg,200,0.6,200,0.1,2,overall,6004,0.3418102760532323,0.21459361255019177,0.8782478347768155,0.346872210149061,0.3201297019753323,0.9373750832778148
Hybrid-GraphReg,200,0.6,200,0.1,2,q1,5935,0.3548121101663038,0.2711957128175077,0.8773378264532434,0.3726782588454287,0.39810413667656047,0.934793597304128
