dataset,seed,model,w_source,gamma,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,4,GS-EASE,rp3beta,1.0,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,Lap-EASE,rp3beta,3.0,sym,overall,6006,0.3680300895240123,0.22501191209092383,0.8766233766233766,0.3679265496068116,0.32941747450034253,0.9304029304029304
ml-1m,4,Lap-EASE,rp3beta,3.0,sym,q1,5939,0.38991833136340054,0.2894413761849801,0.879440983330527,0.4054714381989374,0.42028226184797185,0.9324802155244991
ml-1m,4,Lap-EASE,rp3beta,3.0,sym,q2,4417,0.010222284686992638,0.020630474385750122,0.04324201947022866,0.018556966974033418,0.045674488828298616,0.10504867557165497
ml-1m,4,Lap-EASE,rp3beta,3.0,sym,q3,2931,0.0014139917816216436,0.003219281571379832,0.00511770726714432,0.0029702250245608576,0.008527767981979552,0.013647219379051518
ml-1m,4,Lap-EASE,rp3beta,3.0,sym,q4,1676,0.0006038301225742477,0.001392203659506762,0.0017899761336515514,0.0006738299325418426,0.0015910898965791566,0.0017899761336515514
ml-1m,4,Lap-EASE,rp3beta,3.0,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,GS-EASE,rp3beta,3.0,sym,overall,6006,0.36806739389554816,0.22502570331848318,0.8766233766233766,0.3679785056607544,0.3295222969265935,0.9305694305694305
ml-1m,4,GS-EASE,rp3beta,3.0,sym,q1,5939,0.38995717628763843,0.28946136237267134,0.879440983330527,0.4054970088864138,0.42030673792281975,0.9324802155244991
ml-1m,4,GS-EASE,rp3beta,3.0,sym,q2,4417,0.010222284686992638,0.020630474385750122,0.04324201947022866,0.018662911999252203,0.04612728484369368,0.10550147158705003
ml-1m,4,GS-EASE,rp3beta,3.0,sym,q3,2931,0.0014139917816216436,0.003219281571379832,0.00511770726714432,0.0029702250245608576,0.008527767981979552,0.013647219379051518
ml-1m,4,GS-EASE,rp3beta,3.0,sym,q4,1676,0.0006038301225742477,0.001392203659506762,0.0017899761336515514,0.0006738299325418426,0.0015910898965791566,0.0017899761336515514
ml-1m,4,GS-EASE,rp3beta,3.0,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,Lap-EASE,rp3beta,10.0,sym,overall,6006,0.36444659399093216,0.2193175294617718,0.8692973692973693,0.3624444890556842,0.3208470773060297,0.9264069264069265
ml-1m,4,Lap-EASE,rp3beta,10.0,sym,q1,5939,0.3876573931573169,0.2849105529151367,0.8743896278834821,0.40121035460748444,0.4119508616918231,0.9291126452264691
ml-1m,4,Lap-EASE,rp3beta,10.0,sym,q2,4417,0.00692969730917903,0.013639096050056098,0.028073352954494,0.013810908606398243,0.0351543525864729,0.07493774054788317
ml-1m,4,Lap-EASE,rp3beta,10.0,sym,q3,2931,0.0005084204669366664,0.0010804048675082452,0.0017059024223814397,0.0020027498673924446,0.006159526246527269,0.009211873080859774
ml-1m,4,Lap-EASE,rp3beta,10.0,sym,q4,1676,0.00011646182875659358,0.00014916467780429595,0.0005966587112171838,0.00019000349891931643,0.0003480509148766905,0.0011933174224343676
ml-1m,4,Lap-EASE,rp3beta,10.0,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,GS-EASE,rp3beta,10.0,sym,overall,6006,0.3644635495450536,0.21932421948751135,0.8696303696303697,0.36250641990689086,0.3209613341635317,0.9264069264069265
ml-1m,4,GS-EASE,rp3beta,10.0,sym,q1,5939,0.3876670382424146,0.2849108405165797,0.8745580063983835,0.4012589112458799,0.41201901467818675,0.9291126452264691
ml-1m,4,GS-EASE,rp3beta,10.0,sym,q2,4417,0.006967371617245518,0.013714562052621943,0.028299750962191533,0.01382303962276323,0.0351543525864729,0.07493774054788317
ml-1m,4,GS-EASE,rp3beta,10.0,sym,q3,2931,0.0005084204669366664,0.0010804048675082452,0.0017059024223814397,0.002007199437843052,0.006159526246527269,0.009211873080859774
ml-1m,4,GS-EASE,rp3beta,10.0,sym,q4,1676,0.00011646182875659358,0.00014916467780429595,0.0005966587112171838,0.00024389695859735342,0.0004972155926809864,0.0011933174224343676
ml-1m,4,GS-EASE,rp3beta,10.0,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,Lap-EASE,binary,0.3,sym,overall,6006,0.3624120660147762,0.22386874303745424,0.8744588744588745,0.3640631413329829,0.32825537459395787,0.9310689310689311
ml-1m,4,Lap-EASE,binary,0.3,sym,q1,5939,0.38278108177202064,0.28593395491294055,0.8769153056070046,0.3996374666481331,0.41642640516209345,0.9323118370095975
ml-1m,4,Lap-EASE,binary,0.3,sym,q2,4417,0.01275943266992683,0.02490393851266552,0.05410912383971021,0.022446086820556065,0.05357842145253528,0.13085804844917365
ml-1m,4,Lap-EASE,binary,0.3,sym,q3,2931,0.002051599054379325,0.004811457165602508,0.007164790174002047,0.0036189910263711034,0.009914570648209036,0.017400204708290685
ml-1m,4,Lap-EASE,binary,0.3,sym,q4,1676,0.0006713604957415054,0.001392203659506762,0.0017899761336515514,0.0010263664206834162,0.002784407319013524,0.0029832935560859188
ml-1m,4,Lap-EASE,binary,0.3,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,GS-EASE,binary,0.3,sym,overall,6006,0.16686900809264116,0.10194007565613952,0.6323676323676324,0.17324573465850715,0.1589168568637782,0.7557442557442557
ml-1m,4,GS-EASE,binary,0.3,sym,q1,5939,0.16867126386466108,0.12689968229308227,0.6166021215692877,0.1814985050595684,0.19637542364595378,0.7401919515069877
