model,ease_lambda,rp3_beta,rp3_topK,gamma,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Hybrid-GraphReg,500,0.6,200,0.3,overall,0.35684171733928255,0.0027697206841212473,5,0.2214753689338353,0.002915587575113412,5,0.878051102119346,0.006318752312102953,5,0.3598454101284923,0.0028426217909618477,5,0.32772817446896657,0.003245326524557954,5,0.9342500759668699,0.006250669107851091,5,6007.4,3.4351128074635104,5
Hybrid-GraphReg,500,0.6,200,0.3,q1,0.370707139404049,0.0024686008734506777,5,0.27915150765706226,0.002626568742392307,5,0.8757482951976373,0.005387391615932989,5,0.3875020057300483,0.002650069549302367,5,0.40780112971699356,0.0034624131655531225,5,0.9320012982564336,0.005657540582551624,5,5941.2,4.147288270665454,5
Hybrid-GraphReg,500,0.6,200,0.3,q2,0.02081098430119898,0.0006578696490290809,5,0.0345924451640446,0.00157544996463383,5,0.09136626028897557,0.002745497829010529,5,0.03372887980607523,0.0006668095295037972,5,0.07309598388865007,0.0018042682723374648,5,0.1845539633908095,0.0025663378550451334,5,4440.2,45.146428430164846,5
Hybrid-GraphReg,500,0.6,200,0.3,q3,0.006039043059854086,0.000946109458447971,5,0.011121785877673571,0.002025306093954012,5,0.02100404116936925,0.003353967323481612,5,0.010171578796396503,0.001162442819522384,5,0.02428972157494374,0.0025296195658747237,5,0.04697100976667011,0.003350478275964643,5,2896.4,24.795160818191906,5
Hybrid-GraphReg,500,0.6,200,0.3,q4,0.002706308762995804,0.0005990684593769754,5,0.0053129887643058905,0.0007805444530789675,5,0.008498577084386406,0.0004427941757728103,5,0.004006031941275731,0.0008633248444759108,5,0.00985833695042834,0.002006098948834479,5,0.014681814998790186,0.0023302572932559916,5,1647.8,38.15363678602605,5
Hybrid-GraphReg,500,0.6,200,0.3,q5,0.003241220899792495,0.001772892703210599,5,0.005488156715971179,0.0029793426280341918,5,0.006715124835872832,0.004059868869993794,5,0.0036368568345832367,0.0017375823000128428,5,0.006848981717278041,0.0033090554686019485,5,0.009008694701176826,0.004362043592151898,5,690.4,16.379865689315046,5
Hybrid-GraphReg,500,0.6,200,0.5,overall,0.34841298754291794,0.0027719666435574715,5,0.21699866925920727,0.0030389815056707744,5,0.8726915414788674,0.00603744698427599,5,0.3526811232315155,0.0026739843366722026,5,0.3232257362796334,0.003115528670511491,5,0.9318859671338877,0.005756695873008421,5,6007.4,3.4351128074635104,5
Hybrid-GraphReg,500,0.6,200,0.5,q1,0.3578444682814995,0.0023415848365915723,5,0.27006949587533624,0.0022326339763120615,5,0.866727669821423,0.0052295668808226975,5,0.3753314428594239,0.0023550982850931578,5,0.39732876122857225,0.0027044044722426626,5,0.9272205255084325,0.005197743748731387,5,5941.2,4.147288270665454,5
Hybrid-GraphReg,500,0.6,200,0.5,q2,0.025345076973334667,0.0012776733467824773,5,0.04051572390586283,0.002748449027832705,5,0.11151050153208031,0.004183511595216118,5,0.03921142994338328,0.0011088193535279227,5,0.08191832590076045,0.0025511310564323895,5,0.21026781331400352,0.003066278780206425,5,4440.2,45.146428430164846,5
Hybrid-GraphReg,500,0.6,200,0.5,q3,0.009196540643807536,0.0010511749968706715,5,0.016464352328358557,0.0023550607538057626,5,0.03447316867473425,0.004315581540922879,5,0.014121081362458845,0.001585097635991735,5,0.03202341626150588,0.0037586328522288986,5,0.06457725072415196,0.005834098895209771,5,2896.4,24.795160818191906,5
