dataset,seed,model,dropout,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,2,EDLAE-Laplacian,0.5,1.0,rp3beta,none,overall,6004,0.367528828624008,0.22285254453045764,0.8820786142571619,0.36567328274903926,0.32599546011356945,0.9352098600932711
ml-1m,2,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q1,5935,0.3905233991535878,0.29128840655050275,0.8881213142375737,0.40478052957049176,0.4213047827034335,0.9398483572030328
ml-1m,2,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q2,4474,0.008498624322842561,0.015281638663428763,0.033080017881090745,0.014862456427746007,0.03505128566973877,0.07688869021010282
ml-1m,2,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q3,2899,0.00086013168955997,0.001801387451611667,0.0027595722662987236,0.0018047721993730845,0.00498447740600207,0.008278716798896172
ml-1m,2,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q4,1585,0.0,0.0,0.0,0.0001485229737328948,0.0006309148264984228,0.0006309148264984228
ml-1m,2,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.5,3.0,rp3beta,none,overall,6004,0.3635666665277062,0.21834835146386627,0.8742504996668887,0.36083025230845894,0.3201639499873601,0.9330446369087275
ml-1m,2,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q1,5935,0.3868602131923452,0.28560862528209585,0.8805391743892165,0.40076308235848424,0.4160814891616913,0.9388374052232519
ml-1m,2,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q2,4474,0.006872451704801589,0.012935874349680975,0.02592758158247653,0.011773072491420256,0.028268605882414203,0.057890031291908804
ml-1m,2,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q3,2899,0.0004743630944977771,0.0007282204591621632,0.0010348395998620215,0.0012956372056379267,0.0035548656624889807,0.005864091065884788
ml-1m,2,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q4,1585,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
